"","category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"rno05135","Human Diseases","Infectious disease: bacterial","rno05135","Yersinia infection","113/5855","139/10049",5.2802154108421e-09,6.92520559652753e-08,2.92870247483955e-08,"Pik3r3/Mapk14/Mapk13/Arpc1b/Arpc1a/Limk1/Mapk1/Crkl/Gsk3b/Mapk9/Nlrp3/Map2k4/Baiap2/Pkn1/Traf6/Map2k6/Rock2/Crk/Actr2/Itga4/Map3k7/Irak4/Traf2/Rps6ka3/Tbk1/Wasl/Mapk11/Vav2/Nfkbia/Fos/Ptk2/Arpc3/Jun/Arpc4/Src/Wipf3/Lck/Il18/Map2k1/Itgb1/Skap2/Rps6ka2/Arhgef7/Cdc42/Myd88/Fyb1/Gnaq/Arpc2/Arpc5l/Fn1/Tab2/Pik3cb/Pik3r1/Ikbkb/Pik3r2/Pycard/Map2k2/Rhog/Irf3/Vav3/Pip5k1a/Wipf2/Ptk2b/Chuk/Akt1/Pkn2/Nfkb1/Bcar1/Actr3b/Mapk12/Rela/Git2/Lcp2/Pxn/Elmo2/Rock1/Actg1/LOC100361457/Akt3/Nfatc1/Arhgef12/Pip5k1c/Map2k7/Arpc5/Arhgef28/Mapk8/Arhgef1/Mapk10/Wasf2/Tab1/Rps6ka1/Pip5k1b/Rhoa/Ticam1/Map2k3/Rac3/Elmo1/Ikbkg/Plcg1/Actb/Rps6ka6/Pik3ca/Actr3/Rac1/Nfatc3/Mapk3/Itga5/Irak1/Arf6/Akt2/Nfatc2/Lat/Il6",113
"rno03082","Genetic Information Processing","Chromosome","rno03082","ATP-dependent chromatin remodeling","103/5855","125/10049",6.05843661743323e-09,7.65158106127679e-08,3.23589012315147e-08,"Hdac2/Cdk2ap1/Actl6b/Baz1b/Phf6/Morf4l2/Uchl5/Yy1/Mta1/Arid2/Ing3/Yeats4/Baz1a/Arid1a/Actr6/Dpf3/Nfrkb/Ino80b/Chrac1/Hdac1/Smarca4/H2az1/Smarce1/Smarcd2/Bicra/Actl6a/Cecr2/Macroh2a1/Mbd2/Pbrm1/Smarca2/Ruvbl1/Epc1/Actr8/Brd9/Bicral/Ino80c/Arid1b/Hist1h2af/Smarca5/Cdk2ap2/RGD1308134/Bcl7c/Dmap1/Ino80e/Mta2/Gatad2a/Dpf1/Ruvbl2/Smarcc2/Dpf2/Vps72/Rbbp4/Smarcb1/Trrap/Ino80/Ss18/Actr5/Macroh2a2/Brd8/Ino80d/Rsf1/Znhit1/Bcl7b/Mbd3/Epc2/Actg1/LOC100361457/Chd4/Ep400/Chd3/H2ax/Smarcc1/H2ac25/Smarcd3/Rbbp7/Meaf6/Smarca1/Srcap/Mta3/Baz2a/Actb/Morf4l1/Smarcd1/Baz2b/Mcrs1/H2az2/Bptf/Phf10/Ss18l1/Gatad2b/Brd7/Mrgbp/Yy2/Kat5/Tfpt/Hist1h2ac/Hist1h2an/hist1h2ail2/Hist1h2ai/H2ac23/Pole3/H2ac1",103
"rno04142","Cellular Processes","Transport and catabolism","rno04142","Lysosome","110/5855","135/10049",6.55737663673069e-09,7.98594797544702e-08,3.37729548583498e-08,"Idua/Aga/Lamp2/Cd164/Ppt2/Psap/Gusb/Mcoln1/Ap4m1/Ap1s1/Litaf/Nagpa/Galc/Cltc/Gns/Gnptab/Atp6v0c/Laptm4b/Sumf1/Psapl1/Laptm4a/Lgmn/Cd63/Fuca1/Asah1/Glb1/Hexa/Ctsb/Arsb/Dnase2/Gla/Npc2/Npc1/Ap3m1/Hyal2/Arsa/Acp2/Ncoa7/Ap1m1/Galns/Clta/Abca2/M6pr/Fuca2/Igf2r/Ctsc/Tcirg1/Atp6v0d1/Cltb/Smpd1/Gga2/Ctsl/Ap3m2/Lipa/Ap3d1/Cln3/Ap3b2/Tpp1/Ap4b1/Slc11a2/Lamp1/Ctsf/Pla2g15/Ctsd/Gnptg/Ctns/Dmxl1/Ap1g2/Ap4e1/Man2b1/Ids/Sort1/Neu1/Naglu/Ap1b1/Gga1/Ap3s1/Entpd4/Gga3/Ap1s2/Atp6v1h/Ctsa/Dmxl2/Ap3b1/Ap1m2/Naga/Ap3s2/Ap1s3/Gba1/Gaa/Gm2a/Atp6ap1/Atp6v0a2/Atp6v0a1/Manba/Ap4s1/Cln5/Sgsh/Arsg/Hexb/Ctso/Abcb9/Ap1g1/Hyal3/Scarb2/Wdr7/Mfsd8/Hyal1/Cd68/Ppt1",110
"rno05220","Human Diseases","Cancer: specific types","rno05220","Chronic myeloid leukemia","71/5855","81/10049",7.29770215388365e-09,8.58109115335975e-08,3.62898437416356e-08,"Pik3r3/Bak1/Hdac2/Bcr/Runx1/Mapk1/Crkl/Tgfb2/Grb2/Myc/Crk/Sos2/Gadd45a/Sos1/Tgfbr1/Nfkbia/Shc2/Bcl2l1/Shc4/Hdac1/Tgfb3/Raf1/Map2k1/Braf/Gab2/Gadd45g/Ddb2/Shc3/Rb1/Pik3cb/Hras/E2f1/Ctbp2/Pik3r1/Ikbkb/Pik3r2/Stat5b/Stat5a/Gadd45b/Map2k2/Shc1/Tgfb1/Bax/Bad/Chuk/Akt1/Cdk4/Nfkb1/Nras/Smad3/Araf/Abl1/Rela/Ptpn11/Tp53/Cdkn1b/Akt3/Ctbp1/Mdm2/Mecom/E2f2/Ikbkg/Polk/E2f3/Smad4/Pik3ca/Mapk3/Ccnd1/Cdkn1a/Akt2/Cbl",71
"rno04070","Environmental Information Processing","Signal transduction","rno04070","Phosphatidylinositol signaling system","82/5855","96/10049",7.6204831706909e-09,8.66194920401866e-08,3.66317962941984e-08,"Pik3r3/Ipmk/Dgkg/Synj1/Cds1/Dgke/Mtmr1/Itpkb/Plcd3/Prkca/Ocrl/Pi4k2b/Plcb1/Sacm1l/Itpka/Mtmr2/Pip4p2/Calml4/Mtmr4/Itpk1/Mtmr14/Inpp5b/Pip4p1/Cdipt/Impa1/Prkcb/Inpp1/Pip4k2b/Itpkc/Pi4k2a/Pikfyve/Ippk/Pik3cb/Pip4k2a/Calm3/Dgkz/Inpp4a/Inpp4b/Impa2/Pik3r1/Inpp5e/Pik3r2/Ip6k2/Inpp5f/Pten/Pip5k1a/Plcb3/Cds2/Dgkq/Dgki/Dgkd/Dgka/Pi4kb/Itpr2/Pik3c2g/Pik3c2b/Plcb4/Itpr1/Inpp5a/Pik3c2a/Ppip5k2/Mtmr3/Dgkh/Pip5k1c/Mtm1/Calm1/Ppip5k1/Mtmr7/Mtmr6/Synj2/Pik3c3/Inppl1/Plce1/Pip4k2c/Pip5k1b/Bpnt2/Plcg1/Pik3ca/Itpr3/Pi4ka/Prkcg/Calm2",82
"rno05212","Human Diseases","Cancer: specific types","rno05212","Pancreatic cancer","69/5855","79/10049",1.67277760079916e-08,1.84005536087907e-07,7.78168187808097e-08,"Pik3r3/Bak1/Arhgef6/Brca2/Mapk1/Tgfb2/Ralb/Mapk9/Rps6kb1/Egfr/Gadd45a/Tgfbr1/Bcl2l1/Tgfb3/Ralgds/Raf1/Map2k1/Mtor/Braf/Casp9/Cdc42/Rala/Gadd45g/Ddb2/Stat1/Rb1/Pik3cb/E2f1/Pik3r1/Ikbkb/Pik3r2/Vegfa/Stat3/Gadd45b/Tgfb1/Bax/Bad/Rps6kb2/Chuk/Akt1/Cdk4/Ralbp1/Nfkb1/Pld1/Smad3/Araf/Rela/Tp53/Smad2/Rad51/Pld2/Tgfa/Akt3/Jak1/Mapk8/Mapk10/E2f2/Rac3/Ikbkg/Polk/E2f3/Smad4/Pik3ca/Rac1/Mapk3/Ccnd1/Egf/Cdkn1a/Akt2",69
"rno03083","Genetic Information Processing","Chromosome","rno03083","Polycomb repressive complex","76/5855","89/10049",2.79679619178511e-08,2.98033594187101e-07,1.2603982837979e-07,"Pcgf3/Mtf2/Ring1/Hdac2/Ube2d1/Auts2/Foxk1/Usp16/Wdr5b/Ogt/Scml2/Yy1/Yaf2/Bcorl1/Crebbp/Rybp/Skp1/Ezh2/Aurkb/Mbd6/Max/Pcgf1/Tex10/Wdr5/Hdac1/Scmh1/Cbx3/Pcgf2/Phc1/Cbx7/Sfmbt1/Eed/Pcgf5/Phf19/Bap1/Tfdp1/Pcgf6/Ezh1/Rbbp4/L3mbtl2/Bcor/Kdm2b/Usp7/Fbrsl1/Kdm2a/Foxk2/Fbrs/Phf1/E2f6/L3mbtl3/Dcaf7/Bmi1/Mga/Rnf2/Usp45/Ube2d3/Phc3/Rbbp7/Phc2/Cbx6/Jarid2/Epop/Cbx2/Cbx8/Lcor/Csnk2b/Hcfc1/Suz12/Yy2/Asxl1/Ube2d2/Aebp2/Sfmbt2/Asxl2/Ep300/Cbx4",76
"rno04914","Organismal Systems","Endocrine system","rno04914","Progesterone-mediated oocyte maturation","78/5855","92/10049",3.59481038448527e-08,3.71463739730145e-07,1.57093787136996e-07,"Pik3r3/Mapk14/Mapk13/Anapc16/Mad1l1/Anapc7/Anapc5/Mapk1/Mapk9/Pkmyt1/Adcy3/Fzr1/Anapc4/Cpeb2/Adcy8/Mad2l1/Cdc27/Rps6ka3/Mapk11/Anapc13/Raf1/Map2k1/Braf/Anapc2/Pde3b/Ins1/Rps6ka2/Igf1r/Ccna2/Pik3cb/Gnai2/Cdc16/Anapc10/Plk1/Pik3r1/Cpeb1/Pik3r2/Gnai3/Hsp90ab1/Anapc15/Kif22/Ins2/Cdc25a/Akt1/Cdk2/Cdc25c/Cdc23/Pgr/Araf/Ccna1/Prkaca/Mapk12/Stk10/Cpeb3/Adcy5/Cdc25b/Bub1/Aurka/Mad2l2/Anapc1/Akt3/Cpeb4/Mapk8/Mapk10/Rps6ka1/Prkacb/Adcy9/Rps6ka6/Adcy6/Ccnb1/Pik3ca/Hsp90aa1/Cdk1/Mapk3/Adcy1/Gnai1/Ccnb2/Akt2",78
"rno04919","Organismal Systems","Endocrine system","rno04919","Thyroid hormone signaling pathway","102/5855","126/10049",4.52325412608162e-08,4.53655781468774e-07,1.91853193583028e-07,"Pik3r3/Notch4/Slc16a10/Hdac2/Pfkl/Atp2a2/Mapk1/Rcan1/Gsk3b/Atp1b1/Plcd3/Prkca/Rxrg/Myc/Plcb1/Itgav/Crebbp/Ncoa3/Thrb/Ncoa2/Slc9a1/Med24/Thra/Src/Hdac1/Rxra/Raf1/Map2k1/Rcan2/Mtor/Gata4/Med17/Med12l/Atp1b2/Med16/Atp1b3/Tsc2/Prkcb/Casp9/Wnt4/Foxo1/Med27/Stat1/Pik3cb/Hras/Med4/Pfkp/Pik3r1/Notch2/Pik3r2/Notch1/Map2k2/Atp1a3/Bad/Plcb3/Akt1/Med13/Notch3/Pfkfb2/Nras/Atp1a1/Slc16a2/Rxrb/Prkaca/Med13l/Plcb4/Tp53/Hif1a/Actg1/LOC100361457/Kat2a/Akt3/Atp1a2/Sin3a/Hdac3/Slc2a1/Atp2a3/Tbc1d4/Med14/Mdm2/Plce1/Med30/Pdpk1/Med1/Ncoa1/Prkacb/Rheb/Med12/Pfkm/Plcg1/Ctnnb1/Actb/Ncor1/Pik3ca/Mapk3/Ccnd1/Dio1/Dio2/Akt2/Kat2b/Prkcg/Ep300",102
"rno04931","Human Diseases","Endocrine and metabolic disease","rno04931","Insulin resistance","92/5855","112/10049",5.34917324107648e-08,5.21162307202023e-07,2.20402025271422e-07,"Pik3r3/Prkab1/Mlxip/Gsk3b/Mapk9/Ogt/Srebf1/Rps6kb1/Ppp1cb/Creb3l1/Rps6ka3/Pygl/Trib3/Nfkbia/Pygb/Prkaa2/Cpt1b/Mtor/Ptpn1/Slc2a2/Ins1/Prkcb/Creb3l2/Prkaa1/Rps6ka2/Foxo1/Creb1/Slc27a4/Irs1/Cpt1a/Ppp1r3e/Slc27a3/Prkce/Prkcz/Pik3cb/Slc2a4/Ppargc1b/Slc27a1/Ptpa/Agt/Ppp1r3c/Gfpt1/Pck2/Ppp1ca/Pik3r1/Ikbkb/Prkcd/Prkcq/Pik3r2/Stat3/Nr1h2/Mlx/Ptprf/Ins2/G6pc1/Pten/Gys1/G6pc3/Rps6kb2/Ppara/Akt1/Irs2/Nfkb1/Rela/Ptpn11/Tnfrsf1a/Ppp1cc/Ppp1r3b/Akt3/Prkab2/Slc2a1/Tbc1d4/Oga/Mapk8/Creb3/Mapk10/Insr/Pdpk1/Rps6ka1/Mlxipl/Acacb/Rps6ka6/Prkag1/Pik3ca/Ppp1r3d/Crtc2/Prkag2/Akt2/Il6/Ppargc1a/Creb5/Socs3",92
"rno04728","Organismal Systems","Nervous system","rno04728","Dopaminergic synapse","106/5855","132/10049",5.60094970047656e-08,5.27861024196329e-07,2.232349446362e-07,"Ppp2r5a/Atf6b/Mapk14/Mapk13/Gnb2/Atf2/Clock/Gsk3b/Mapk9/Prkca/Ddc/Cacna1b/Ppp1cb/Kif5c/Plcb1/Kcnj3/Ppp2r5c/Ppp2ca/Kif5a/Creb3l1/Mapk11/Gria4/Calml4/Kcnj9/Ppp2r3a/Fos/Gnb5/Slc18a2/Ppp3cc/Gnb4/Ppp2r1a/Ppp2r2a/Camk2d/Slc18a1/Prkcb/Creb3l2/Creb1/Gnaq/Ppp2cb/Gnb3/Gng8/Gnai2/Calm3/Ppp2r5d/Ppp2r2d/Kif5b/Gnal/Ppp1ca/Arrb2/Gnao1/Gng3/Gnai3/Gsk3a/Th/Ppp2r5b/Plcb3/Akt1/Ppp2r3c/Gnas/Ppp1r1b/Itpr2/Cacna1d/Ppp2r2b/Camk2a/Cacna1c/Prkaca/Gnb1/Plcb4/Arrb1/Itpr1/Maob/Mapk12/Drd2/Bmal1/Ppp3ca/Ppp1cc/Adcy5/Comt/Akt3/Ppp2r1b/Calm1/Mapk8/Atf4/Camk2g/Creb3/Mapk10/Maoa/Kcnj6/Camk2b/Prkacb/Ppp2r3b/Gng12/Ppp2r5e/Gria2/Ppp3cb/Cacna1a/Scn1a/Ppp2r2c/Caly/Itpr3/Gnai1/Akt2/Prkcg/Gng5/Calm2/Creb5",106
"rno00562","Metabolism","Carbohydrate metabolism","rno00562","Inositol phosphate metabolism","66/5855","76/10049",5.72752430946164e-08,5.27861024196329e-07,2.232349446362e-07,"Fig4/Ipmk/Synj1/Mtmr1/Itpkb/Plcd3/Ocrl/Pi4k2b/Plcb1/Sacm1l/Itpka/Mtmr2/Mtmr4/Itpk1/Mtmr14/Inpp5b/Cdipt/Impa1/Minpp1/RGD1564801/Aldh6a1/Inpp1/Pip4k2b/Itpkc/Pi4k2a/Pikfyve/Tpi1/Ippk/Pik3cb/Pip4k2a/Inpp4a/Inpp4b/Impa2/Inpp5e/Inpp5j/Isyna1/Inpp5f/Pten/Pip5k1a/Plcb3/Pi4kb/Pik3c2g/RGD1563601/Pik3c2b/Plcb4/Inpp5a/Pik3c2a/Mtmr3/Plch1/Pip5k1c/Mtm1/Mtmr7/Mtmr6/Synj2/Pik3c3/Inppl1/Plce1/Pip4k2c/Pip5k1b/Pip5kl1/Plcg1/Pik3ca/Inpp5k/Pi4ka/LOC500959/Plch2",66
"rno03015","Genetic Information Processing","Translation","rno03015","mRNA surveillance pathway","84/5855","101/10049",6.71105194136371e-08,6.02228608422375e-07,2.54685350683332e-07,"Ppp2r5a/Ddx39b/Msi1/Ncbp2/Msi2/Gspt1/Smg6/Pnn/Ppp1cb/Nxt1/Ppp2r5c/Ppp2ca/Cpsf6/Cpsf2/Papolg/Clp1/Ppp2r3a/Rngtt/Rnps1/Pabpc1/Casc3/Pcf11/Ppp2r1a/Ppp2r2a/Cstf3/Magoh/Acin1/Hbs1l/Sympk/Gle1/Ppp2cb/Pabpn1/Dazap1/Rnmt/Ppp2r5d/Ppp2r2d/Ssu72/Ddx19a/Ppp1ca/Nxt2/Nxf1/Nudt21/Etf1/Smg5/Cpsf7/Ppp2r5b/Rbm8a/Ncbp1/Fus/Upf3b/Ppp2r3c/Smg5l1/Ppp2r2b/Cpsf4/Fip1l1/Pabpn1l/Ppp1cc/Tardbp/Alyref/Cstf1/Srrm1/Pabpc4/Upf2/Ppp2r1b/Magohb/Papola/Upf3a/Ppp2r3b/Gspt2/Eif4a3/Cstf2/Wdr82/Ppp2r5e/Ddx19b/Cpsf1/Ppp2r2c/Smg1/Cpsf3/Pelo/Pym1/Smg7/Upf1/Sap18/Cstf2t",84
"rno05020","Human Diseases","Neurodegenerative disease","rno05020","Prion disease","223/5855","307/10049",7.74052987309891e-08,6.76800176083776e-07,2.86222022298124e-07,"Pik3r3/Atf6b/Mapk14/Mapk13/Fyn/Cox6a1/Ndufv3/Psmb1/Atp5pf/Atf2/Psmd2/Mapk1/Atp5po/Sod1/Ncam2/Lamc1/Ndufb4/Gsk3b/Atp5f1b/Mapk9/Sdhc/Psmd12/Tuba4a/Atp5pd/Psmc1/Cacna1b/Kif5c/Ndufa4/Kif5a/Creb3l1/Cyct/Eif2ak3/Vdac1/Ddit3/Ndufa7/Psmd6/Mapk11/Psmc6/Psma6/Ndufa12/Casp12/Cox4i2/Sdhb/Psma3/Apaf1/Ndufb11/Ndufa6/Ndufb9/Ndufs3/Ppp3cc/LOC680121/Ndufb2/Eif2s1/Sem1/Tubb4b/Psmc5/Cycs/Casp3/Cox6c/Slc25a4/Slc25a5/Slc25a6/Ndufs4/Psmb2/Psmc3/Klc1/Psma1/Ndufb5/Ndufb3/Csnk2a2/Psmc2/Ndufc2/Uqcrh/Ndufv2/Grin3b/C1qc/Cyc1/Creb3l2/C1qa/Casp9/Psmb5/Psma4/Creb1/Sdha/Vdac2/Ndufb8/Psmd7/Ndufb10/Psmd13/Atp5f1d/Atp5mc2/Uqcrc2/Atp5pb/Ndufa10/Pik3cb/Cox5b/Atp5f1a/Tubb3/Ndufs8/Ndufa2/Kif5b/Cox4i1/Psmd1/Ndufab1/Ndufv1/Uqcrfs1/Tubb6/Hspa5/Cox5a/C5/Pik3r1/Psmc4/Prkcd/Vdac3/Pik3r2/Notch1/Egr1/Psmb6/Cox6a2/Psma5/Ryr1/Psmd8/Ndufa13/Bax/Psmb4/Psmd4/Grin2d/Bad/Stip1/Ndufs6/Ndufb6/Klc4/Cox6b1/Tuba1c/Ndufb7/Ndufs5/Uqcrb/Cox7a2l2/Cox7a2/Ndufs7/Psmd3/Itpr2/Cacna1d/ND2/Klc2/ND3/Cacna1c/Prkaca/CYTB/Uqcrc1/Ncam1/ND4/Itpr1/COX2/Grin1/Mapk12/ND4L/Hspa8/Ndufa8/Ndufa4l2/ATP6/ATP8/ND1/Ppp3ca/ND5/COX3/COX1/ND6/Cox7c/Atp5mc3/Ndufs2/Sdhd/Hspa1a/Psmd11/Atp5f1c/Mapk8/Atf4/Cox7a2l/Creb3/Mapk10/Ryr2/Klc3/Prkacb/Ndufa11/LOC100361879/Mcu/Psma2/Hspa1l/Tubb1/Tubb4a/Csnk2b/Tubb5/Tuba1b/Tuba1a/Ndufa1/Ppp3cb/Psma7/Psmd14/Pik3ca/Uqcr10/Psmb7/Tubb2a/Psmb3/Rac1/Mapk3/Ndufa9/Cox7b/Itpr3/Adrm1/Ndufa10l1/Ndufa5/Ndufs1/Uqcrq/Prnp/Ppp3r2/Il6/Ppif/Ndufc1/Cav1/Csnk2a1/Creb5/LOC120097699/Cacna1s",223
"rno04146","Cellular Processes","Transport and catabolism","rno04146","Peroxisome","75/5855","89/10049",1.12817072025678e-07,9.61765539018906e-07,4.06735233355734e-07,"Ddo/Ehhadh/Far2/Sod1/Mpv17l/Baat/Cat/Pex2/Pipox/Hmgcl/Pex12/Pex5/Acsl1/Hmgcll1/Pex5l/Scp2/Abcd4/Pex7/Abcd3/Pex14/Far1/Idh2/Mlycd/Acsl3/Pex11a/Idh1/Acot8/Pex3/Hsd17b4/Eci2/Acsl5/Gstk1/Pex6/Pxmp4/Prdx1/Ephx2/Phyh/Dhrs4/Amacr/Slc25a17/Sod2/Acsl4/Mpv17l2/Hacl1/Gnpat/Decr2/Ech1/Pmvk/Prdx5/Pex11b/Acsl6/Nudt7/Mpv17/Pex10/Pex11g/Pex1/Acox1/Acox3/Pxmp2/Crat/Nudt12/Crot/Nudt13/Pex26/Mvk/Nudt19/Pex13/Abcd1/Pecr/Pex16/Pex19/Agps/Paox/Acaa1a/Acaa1b",75
"rno05225","Human Diseases","Cancer: specific types","rno05225","Hepatocellular carcinoma","140/5855","183/10049",1.39314741717938e-07,1.15869090062968e-06,4.900159079681e-07,"Pik3r3/Bak1/Gstt1/Actl6b/Fzd9/Nfe2l2/Dvl3/Mapk1/Txnrd2/Tgfb2/Gsk3b/Prkca/Wnt9b/Wnt3/Rps6kb1/Grb2/Mgst3/Egfr/Myc/Fzd6/Sos2/Arid2/Gadd45a/Arid1a/Sos1/Tgfbr1/Mgst1/Shc2/Bcl2l1/Dpf3/Shc4/Smarca4/Tgfb3/Elk1/Txnrd1/Raf1/Map2k1/Mtor/Smarce1/Smarcd2/Braf/Actl6a/Prkcb/Pbrm1/Smarca2/Gsto1/Nqo1/Gsto2/Wnt4/Gadd45g/Ddb2/Hmox1/Igf1r/Shc3/Tcf7l2/Fzd5/Tcf7l1/Wnt5a/Fzd7/Wnt11/Rb1/Pik3cb/Lrp5/Hras/E2f1/Tert/Arid1b/Dvl2/Gab1/Pik3r1/Gstm7/Gstm4/Pik3r2/Dvl1/Gadd45b/Map2k2/Apc/Shc1/Tgfb1/Dpf1/Pten/Smarcc2/Bax/Keap1/Bad/Smarcb1/Rps6kb2/Akt1/Cdk4/Fzd2/Nras/Smad3/Araf/Csnk1a1/Tp53/Smad2/Gstm1/Apc2/Actg1/LOC100361457/Tgfa/Akt3/Wnt9a/Smarcc1/Smarcd3/Fzd3/Frat2/Gstm5/E2f2/Polk/Plcg1/Ctnnb1/Gstt2/Actb/Igf2/Smarcd1/E2f3/Lrp6/Smad4/Pik3ca/Txnrd3/Phf10/Brd7/Met/Mapk3/Ccnd1/Axin2/Cdkn1a/Tcf7/Mgst2/Akt2/Frat1/Prkcg/Fzd4/Wnt7b/Gstm6l/Gstm2/Gstm6/Axin1/Fzd8",140
"rno01212","Metabolism","Global and overview maps","rno01212","Fatty acid metabolism","55/5855","62/10049",1.51896807316808e-07,1.23325741178647e-06,5.21550441162975e-07,"Ppt2/Acads/Ehhadh/Hacd2/Oxsm/Elovl5/Acat1/Hsd17b12/Elovl4/Acadm/Cpt1b/Mcat/Elovl7/Elovl6/Acsl1/Hadhb/Hadh/Scp2/Cpt2/Acadl/Acat2l1/Cpt1a/Acsl3/Acsf3/Hsd17b4/Acsl5/Acadvl/Acsl4/Fads2/Fads1/Acsl6/Cbr4/Acat2/Mecr/Cpt1c/Elovl1/Tecr/Hadha/Acaca/Hacd3/Acox1/Acox3/Hacd1/Acaa2/Echs1/Fasn/Acsbg2/Scd2/Hsd17b8/Acadsb/Acaa1a/Acaa1b/Ppt1/Elovl2/Acsbg1",55
"rno04310","Environmental Information Processing","Signal transduction","rno04310","Wnt signaling pathway","133/5855","173/10049",1.71986725567927e-07,1.36389473066658e-06,5.76797586359999e-07,"Fzd9/Dvl3/Senp2/Gpc4/Cacybp/Gsk3b/Mapk9/Prkca/Wnt9b/Wnt3/Daam1/Ccdc88c/Myc/Fzd6/Plcb1/Rock2/Wif1/Porcn/Vangl2/Lgr6/Crebbp/Cul1/Map3k7/Skp1/Lgr4/Tle6/Rnf43/Invs/Nlk/Jun/Psen1/Rspo4/Ppp3cc/Prickle3/Dkk2/Camk2d/Tbl1xr1/Csnk2a2/Prkcb/Prickle2/Wnt4/Tle4/Ruvbl1/Tle3/Prickle4/Tcf7l2/Fzd5/Tcf7l1/Sfrp5/Siah1/Wnt5a/Fzd7/Wnt11/Bambi/Nkd2/Vangl1/Lrp5/Btrc/Chd8/Ctbp2/Dvl2/Ccar2/Dkk4/Dvl1/Apc/Nfatc4/Fosl1/Plcb3/Fzd2/Prickle1/Smad3/Camk2a/Prkaca/Ppard/Plcb4/Csnk1a1/Ctnnd2/Ror1/Tp53/Ppp3ca/Lzts2/Apc2/Ctnnbip1/Ctbp1/Wnt9a/Nfatc1/Tle1/Tle2/Fbxw11/Mapk8/Camk2g/Mapk10/Camk2b/Ryk/Apcdd1/Prkacb/Fzd3/Rhoa/Senp18/Frat2/Cxxc4/Rac3/Ccnd3/Dkk1/Csnk2b/Sirt1/Ctnnb1/Sfrp4/Mcc/Tbl1x/Lrp6/Ppp3cb/Smad4/Rbx1/Rac1/Nfatc3/Csnk1e/Ccnd1/Axin2/Apcdd1l/Znrf3/Ccnd2/Tcf7/Frat1/Nfatc2/Ppp3r2/Prkcg/Fzd4/Wnt7b/Axin1/Csnk2a1/Ep300/Fzd8",133
"rno05161","Human Diseases","Infectious disease: viral","rno05161","Hepatitis B","130/5855","169/10049",2.23104829180315e-07,1.72906242614744e-06,7.31228746356533e-07,"Pik3r3/Atf6b/Mapk14/Mapk13/Atf2/Mapk1/Tgfb2/Mapk9/Prkca/Map2k4/Grb2/Traf6/Myc/Map2k6/Sos2/Crebbp/Map3k7/Creb3l1/Irak4/Cyct/Tbk1/Mapk11/Sos1/Tgfbr1/Ifih1/Nfkbia/Casp12/Ccne2/Fos/Apaf1/Traf3/Jun/Src/Tgfb3/Elk1/Raf1/Map2k1/Cycs/Casp3/Braf/Prkcb/Bid/Ywhab/Creb3l2/Map3k1/Casp9/Creb1/Myd88/Ddb2/Stat1/Stat4/Ccne1/Ccna2/Rb1/Tab2/Pik3cb/Hras/E2f1/Irf7/Jak3/Pik3r1/Ikbkb/Fas/Vdac3/Pik3r2/Stat5b/Stat5a/Stat3/Map2k2/Irf3/Nfatc4/Tgfb1/Ddb1/Bax/Bad/Pcna/Ifnar1/Ptk2b/Chuk/Akt1/Cdk2/Mavs/Ywhaz/Nfkb1/Tirap/Ddx3x/Nras/Smad3/Araf/Ccna1/Tyk2/Mapk12/Rela/Tp53/Stat2/Akt3/Nfatc1/Ticam2/Rig1/Map2k7/Jak1/Mapk8/Atf4/Creb3/Mapk10/Tab1/Birc5/Ticam1/E2f2/Map2k3/Fadd/Ywhaq/Ikbkg/E2f3/Atp6ap1/Smad4/Pik3ca/Stat6/Jak2/Nfatc3/Mapk3/Cdkn1a/Irak1/Hspg2/Akt2/Nfatc2/Il6/Prkcg/Ep300/Creb5",130
"rno05223","Human Diseases","Cancer: specific types","rno05223","Non-small cell lung cancer","65/5855","76/10049",2.5574324009348e-07,1.87667495133146e-06,7.93654787258558e-07,"Pik3r3/Foxo3/Bak1/Mapk1/Prkca/Grb2/Egfr/Rxrg/Kif5c/Sos2/Gadd45a/Kif5a/Rassf5/Sos1/Alk/Rxra/Raf1/Map2k1/Braf/Prkcb/Casp9/Gadd45g/Ddb2/Rb1/Pik3cb/Hras/E2f1/Kif5b/Jak3/Pik3r1/Pik3r2/Stat5b/Stat5a/Stat3/Gadd45b/Map2k2/Bax/Bad/Akt1/Cdk4/Rassf1/Nras/Araf/Rxrb/Eml4/Tp53/Ret/Tgfa/Akt3/Stk4/Pdpk1/E2f2/Polk/Plcg1/E2f3/Pik3ca/Met/Mapk3/Ccnd1/Egf/Cdkn1a/Akt2/Prkcg/Fhit/Rarb",65
"rno04130","Genetic Information Processing","Folding, sorting and degradation","rno04130","SNARE interactions in vesicular transport","33/5855","34/10049",2.58661943438647e-07,1.87667495133146e-06,7.93654787258558e-07,"Stx2/Snap29/Gosr2/Stx8/Stx17/Stx18/Vamp7/Bet1/Bet1l/Stx11/Ykt6/Stx7/Use1/Vamp1/Sec22b/Stx5/Stx1b/Stx4/Bnip1/Stx3/Stx6/LOC103690878/Stx1a/Vamp3/Vamp2/Vti1a/Stx16/Vamp4/Gosr1/Vti1b/Vamp8/Snap23/Stx19",33
